Unnamed: 0,Tweet,Location,year,month,day,Sentiment
0,اللي بينا مايتقدر   عمرودياب فودافون ,"Cairo, Egypt",2022,4,4,negative
1,ما بعد فوق قمة الاستهتار والاهمال واللا مبالاة فودافون ,Egypt,2022,4,4,negative
2,عاجل فضيحة فودافون تتسبب في أزمة بعد تسريببيانات أحدى العميلات خلال حملةإعلانية لمزيد من التفاصيل  مصرتايمز  ,dokki,2022,4,4,negative
3, وحدة      فودافون,مصر,2022,4,3,neutral
4,فودافون      وحده     وحده      وحده     وحده     وحده,مصر,2022,4,3,positive
5, مليون مشاهده عاليوتيوب ف  ساعه لغنوتنا الليبيناحياه عمرودياب فودافون رمضان  عزيزالشافعي           ,Egypt,2022,4,3,positive
6,اعلان فودافون جامد عمرو دياب  ايه الجمال ده القطه ,"Cairo, Egypt",2022,4,3,positive
7,تصدقوا اعلان فودافون ده يضايق فعلا,"Cairo, Egypt",2022,4,3,negative
8,سرقة الانترنت بقت حاجة مقرفة في مصر ومافيش حد يحاسبهم ولا يراقب عليهم حتى بالذات النصابين بتوع فودافون,Egypt,2022,4,3,negative
9,دى المره المليون اكتشف سرقات فودافون على الخطوط بتاعتى و يا ريت الشبكه قويه الا الاتصال زى الزفت و كل مكالمه يتقطع مرتين و النت بيحمل التويته ف ربع ساعه  هما فى  العالميه عندهم علم بالتدهور فى   ده و الا هما مشيوا خلاص و سابوهالكم,Egypt,2022,4,3,negative
10,بالنسبه لاعلان فودافون السنادي تمام قووووي,مصر,2022,4,2,positive
11,والله والله اللي بينا مايتقدر والله والله عمري ماهنسي ومش هقدر  عمرودياب فودافون ,مصر,2022,4,2,positive
12,أغنية اللي بينا حياة في إعلان عمرو دياب بتاع فودافون شجعني ارتبط أوي  عمرودياب  الليبيناحياة فودافون,"Alexandria,Egypt",2022,4,2,positive
13,إعلان عمرودياب و فودافون قادر يخطف قلبك بجد ,"Alexandria, Egypt",2022,4,2,positive
14,فودافون ابداااع بالمحبة والعيلة والهضبة اكيد ,Lebanon,2022,4,2,positive
15,نشاط ديابي في رمضان   فودافون البريدالمصري,"Cairo, Egypt",2022,4,2,neutral
16,اللي بينا غنوة حلوة بتفكرني بيك فيديو كل ما أشوفه بضحك من قلبي عليك  عمروديابالسر فودافون,"Alexandria, Egypt",2022,4,2,positive
17,اللي بينا حياهوأكتر عمرودياب  كلمات و ألحان عزيزالشافعي  توزيع وسام عبد المنعم مكساج و ماسترنج أمير محروس إعلان فودافون رمضان      ,"Alexandria, Egypt",2022,4,2,neutral
18,اللي بينا حياهوأكتر عمرودياب  كلمات و ألحان عزيزالشافعي  توزيع وسام عبد المنعم مكساج و ماسترنج أمير محروس إعلان فودافون رمضان     ,Egypt,2022,4,2,neutral
19,إيه يافودافون الاعلان الزفت ده  ماشي بحب عمرو بس مش إعلانات رمضان وبعدين فكره مهريه سبعتلاف مره قبل كده  فودافون,Mansoura,2022,4,2,negative
20,ن   بالشهور و يجي إعلان فودافون  و عمرودياب يرجعونا لنقطه الصفر من تاني  ,"North Sinai, Egypt",2022,4,2,negative
21,عمرودياب اعلان فودافون  ايه العظمه ده,Mansoura,2022,4,2,negative
22, اقسم بالله اشتركت في باقي اضافية والله مامستفيد باللي دفعته  فودافون شركة تعبانة وخدمة العملاء تعبانة,"Cairo, Egypt",2022,4,1,negative
23,آخر فرحة قبل رمضان  الله يعفو عنا   لحد يعمل بعدهم دعاية فودافون رمضانكريم ,الرياض,2022,4,1,negative
24,خاصية الرقم غير صحيح فودافون وكيفية الغائها ,Egypt,2022,3,31,neutral
25,لو عندك محفظة إلكترونية تابعة لاي بنك وعاوز تلغيها عشان تشترك في محفظة تابعة لاي شركة اتصالات هتلاقي الشرح هنا     فودافون,"El Daqahlia, Egypt",2022,3,31,neutral
26,فودافون تقرر تعويض العملاء بمكالمات مجانية بعد عطل الأمس  المصدر الأهرام   مصر فودافون ,Cairo,2022,3,31,neutral
27,فودافونحرصا منا علي رضائك آخد شهر رمضان مجاني ثانيا هو في حد عايز يكلم العملاء ,Tanta,2022,3,31,neutral
28, انا عاوز نت  فودافون ,"Giza, Egypt",2022,3,31,negative
29,مكالمات مجانية طول اليوم فودافون تعوض  ملايين عميل بعد سقوط الشبكة ,"القاهرة, مصر",2022,3,31,positive
30,فودافون  بتضحي ,Egypt,2022,3,31,negative
31,شركة فودافون مصر تعتذر لعملائها اليوم عن تأثير خدماتها في بعض الاماكن امس وتعويضا لعملائها المكالمات مجانيه لارقام فوادفون حتي نهاايه اليوم   انضم لقناه التليجرام الرسمية لينا       ,"Cairo, Egypt",2022,3,31,negative
32,بعد سقوط شبكتها أمس فودافون تعوض عملائها بمكالمات مجانية طوال اليوم ,"Cairo, Egypt",2022,3,31,neutral
33,فودافون  اسوء شبكة في مصر,"القاهرة, مصر",2022,3,31,negative
34,فودافون عطل الشبكة أمس أثر على  ملايين عميل نتيجة قطع أحد الكابلات ,"Cairo, Egypt",2022,3,31,negative
35,دقائق وإنترنت مجاني فودافون تعوض  ملايين عميل عن انقطاع الخدمة التفاصيل ش,Egypt,2022,3,31,positive
36,مش بحبها من فراغ      فودافون ,"Sohag, Egypt",2022,3,31,positive
37,صورة  تعويض العملاء فودافون مصر توضح حقيقة عطل الشبكة وانقطاع الخدمة ,"Cairo, Egypt",2022,3,31,neutral
38,شركة إبداعللتطويرالعقاري ممروانفارس  شقةللبيع النرجسالجديدة فيو مفتوح على النادى وشارع عريض خصوصية أعلي بالقرب من محور جمال عبدالناصر ومحور طلعت حرب شقة م   مقدم  الف  قسط شهري  الف   فودافون  ,"Cairo, Egypt",2022,3,31,neutral
39,مش عارف اقولك اي  شكرا علي تحميل افلام باتمان وفيفتي شيدز الثلاث اجزاء وانمي ون بيس الف حلقه بأفلامهم واتاك اون تايتن وافلام مارفل و ومسلسل  و  و  و  وافلام هاري بوتر و     وكفايه كدا عشان النت باقتكم متخلصشفودافون,"القاهرة, مصر",2022,3,31,positive
40,الاعتراف بالحق فضيله  ليه مش بتوصل كاس العالم   فودافون,مصر,2022,3,31,negative
41,شركه فودافون تعلن خسارتها اليوم  مليون جنيه استهلاك عملاء فودافون للنت المجاني بعد وقوع السيستم فودافون,Egypt,2022,3,31,negative
42,طريقة عمل فانوس رمضان  عبر  فودافون يونسفيرمضانقبلالفطار,"القاهرة, مصر",2022,3,31,neutral
43,تقريبا أنا الوحيدة و بعض الصالحين اللي لسه عارفة الخبر دة مع إن أنا خطي فودافون فودافون,Tanta,2022,3,31,neutral
44,اليوم اللى الناس كلها فتحت انترنت داتا فودافون ببلاش  كنت انا غيرت الاعدادات علشان افتح داتا من خط موبينيل   مبخت ومحظوظ طول عمرى   صباحالخير,Egypt,2022,3,31,neutral
45,ده فودافون بعد متحل المشكله هتخصم منكم من هنا ليوم القيامه فودافون,Egypt,2022,3,31,negative
46,بكت جميع حواسه وجوارحه إلا عينيه   نجيب محفوظ فودافون,Egypt,2022,3,30,negative
47,تعطل خدمات شبكة فودافون في مصر الشركة تعتذر والقومي للاتصالات يتدخل   ,"Cairo, Egypt",2022,3,30,neutral
48,رقم خدمة عملاء فودافون كاش ,Egypt,2022,3,30,neutral
49,كتر الف شيرك فودافون ,Egypt,2022,3,30,negative
50,المشهد المحذوف من مسلسل الاختيار   ولماذا اثر السيسي على تجسيد ياسر جلال له بدلا من مجد هنيدي  الاختيار فودافون,"القاهرة, مصر",2022,3,30,neutral
51, كواليس مسلسل الاختيار و أول ظهور لياااااااااسر جلال  سم  في دور السيسي سم   فودافون السيسيبيسلممصر,"القاهرة, مصر",2022,3,30,neutral
52, كواليس مسلسل الاختيار و أول ظهور لياااااااااسر جلال  سم  في دور السيسي سم   فودافون مصرالسنغال,"القاهرة, مصر",2022,3,30,neutral
53, كواليس مسلسل الاختيار و أول ظهور لياااااااااسر جلال  سم  في دور السيسي سم   فودافون,"القاهرة, مصر",2022,3,30,neutral
54,زحام مروري بسبب شقة فيفي   الاختيار فودافون,"القاهرة, مصر",2022,3,30,negative
55,شعب لو لاقي مال قارون حيخلصه في ساعه  فودافون  مصرالسنغال ,"Cairo, Egypt",2022,3,30,positive
56,شقة الراقصة فيفي عبده وكوبري السيسي   محمدصلاح اتركجوالك فودافون,"القاهرة, مصر",2022,3,30,neutral
57,هل تواجه شبكة فى مشكلة فودافون فودافون,Egypt,2022,3,30,neutral
58,العين اللي تستصغرك اعميها       محمدصلاح   الفيفا  فودافون  ضياءحمارشه        نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
59,مليار دولار وديعة لحساب مصر وضعتها السعودية فى البنك المركزى  مما يجعلنى اتسائل عن مسيرة الاصلاح التى تنتهى دوما بالاقتراض او المعونات  واتسائل عن الثمن ولاتقل حضن عربي  السيسيبيسلممصر محمدصلاح الفيفا فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
60, حق الحياة  حق الحرية  حق العدالة  حق العمل  حق التعليم  حق إبداء الرأي   حق حفظ الكرامة الإنسانية  حقوق نسمع بها ولكننا لا نراها في دولنا  السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
61,ليست العودة إلى الإسلام أن نكتب على رايتنا الله اكبر بل العودة إلى الإسلام أن نملأ قلوبنا الله أكبر ونجعلها باعث اعمالنا وهدف حياتنا  السيسيبيسلممصر  محمدصلاح   الفيفا       فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,positive
62,العين اللي تستصغرك اعميها       محمدصلاح   الفيفا  فودافون  ضياءحمارشه        نجدهباحثيمصر  الدكتوراهللجهازالاداري   السيسيبيسلممصر,مصر,2022,3,30,negative
63,حاسه انكو هتطلعوه علينا النت دا  انا معملتش حاجه   فودافون,El Sharkia,2022,3,30,negative
64,فودافون  اللي طلعناه عليها بط بط هتطلعوا علينا بعد كده وز وز,Giza,2022,3,30,negative
65,وفى الورد اشكال الوان ورائحه وعبير وليس الظل كالحق وليس كل الناس على حق  فودافون,"Minya,Egypt",2022,3,30,positive
66,تقريبا كده الكل سرق نت من فودافون إلا أنا فودافون,"القاهرة, مصر",2022,3,30,negative
67,دا لون رجليها مبالك بقا بلون قلبها  فودافون ,Egypt,2022,3,30,neutral
68,ليست العودة إلى الإسلام أن نكتب على رايتنا الله اكبر بل العودة إلى الإسلام أن نملأ قلوبنا الله أكبر ونجعلها باعث اعمالنا وهدف حياتنا  السيسيبيسلممصر  محمدصلاح   الفيفا       فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Cairo ,2022,3,30,positive
